ID_MISSTA,RESOLUTION,ID_MISPHOT,Resolution_scan
1000_CAF_W-2E_P_5000,5000,CF00W-2E1,722
1000_CAF_W-3E_P_5000,5000,CF00W-3E1,722
1000_CAF_W-5_P_5000,5000,CF000W-51,722
1000_CAF_W-7_P_5000,5000,CF000W-71,722
1000_CAF_Z-1_P_5000,5000,CF000Z-11,722
1000_CAF_Z-17_P_100,100,CF00Z-171,722
1000_CAF_Z-8_P_2000,2000,CF000Z-81,722
1000_CDP 301_P_9000,9000,1424-0141,1200
1000_CDP 302_P_2000,2000,1424-0151,1200
1000_CDP 8955_P_100,100,N00000015,1200
1000_EGYPTE_DIV_P_100,100,PHOT_0251,722
1000_IGN 01_P_100,100,00IGN-015,
1000_IGN 02_P_100,100,00IGN-025,750
1000_IGN 03_P_100,100,00IGN-035,722
1000_IGN 04_P_100,100,00IGN-045,722
1000_IGN 05_P_100,100,00IGN-055,722
1000_IGN 06_P_100,100,00IGN-065,750
1000_IGN 07_P_100,100,00IGN-075,722
1000_IGN 08_P_100,100,00IGN-085,722
1000_IGN 09_P_100,100,00IGN-095,722
1000_IGN 10_P_100,100,00IGN-105,722
1000_IGN 11_P_100,100,00IGN-115,722
1000_IGN 13_P_100,100,00IGN-135,750
1000_IGN 14_P_100,100,00IGN-145,722
1000_IGN 16_P_100,100,00IGN-165,722
1000_IGN 21_P_100,100,00IGN-215,722
1000_IGN 26_P_100,100,00IGN-265,750
1000_IGN 27_P_100,100,00IGN-275,750
1000_IGN 28_P_100,100,00IGN-285,722
1000_IGN 2A_P_100,100,00IGN-2A5,722
1000_IGN 30_P_100,100,00IGN-305,750
1000_IGN 31_P_100,100,00IGN-315,722
1000_IGN 33_P_100,100,00IGN-335,750
1000_IGN 34_P_100,100,00IGN-345,750
1000_IGN 37_P_100,100,00IGN-375,750
1000_IGN 38_P_100,100,00IGN-385,750
1000_IGN 41_P_100,100,00IGN-415,750
1000_IGN 42_P_100,100,00IGN-425,722
1000_IGN 43_P_100,100,00IGN-435,722
1000_IGN 44_P_100,100,00IGN-445,750
1000_IGN 45_P_100,100,00IGN-455,722
1000_IGN 48_P_100,100,00IGN-485,722
1000_IGN 49_P_100,100,00IGN-495,722
1000_IGN 51_P_100,100,00IGN-515,722
1000_IGN 52_P_100,100,00IGN-525,722
1000_IGN 54_P_100,100,00IGN-545,722
1000_IGN 55_P_100,100,00IGN-555,722
1000_IGN 57_P_100,100,00IGN-575,722
1000_IGN 58_P_100,100,00IGN-585,722
1000_IGN 59_P_100,100,00IGN-595,722
1000_IGN 60_P_100,100,00IGN-605,750
1000_IGN 62_P_100,100,00IGN-625,722
1000_IGN 63_P_100,100,00IGN-635,722
1000_IGN 67_P_100,100,00IGN-675,722
1000_IGN 68_P_100,100,00IGN-685,722
1000_IGN 69_P_100,100,00IGN-695,722
1000_IGN 70_P_100,100,00IGN-705,722
1000_IGN 71_P_100,100,00IGN-715,722
1000_IGN 73_P_100,100,00IGN-735,722
1000_IGN 74_P_100,100,00IGN-745,722
1000_IGN 75_P_100,100,00IGN-755,1200
1000_IGN 76_P_100,100,00IGN-765,722
1000_IGN 77_P_100,100,00IGN-775,1200
1000_IGN 78_P_100,100,00IGN-785,1200
1000_IGN 80_P_100,100,00IGN-805,1200
1000_IGN 81_P_100,100,00IGN-815,722
1000_IGN 83_P_100,100,00IGN-835,722
1000_IGN 84_P_100,100,00IGN-845,1200
1000_IGN 84_P_4000,4000,00IGN-841,1200
1000_IGN 86_P_100,100,00IGN-865,722
1000_IGN 89_P_100,100,00IGN-895,722
1000_IGN 92_P_100,100,00IGN-925,722
1000_IGN 93_P_100,100,00IGN-935,1200
1000_IGN 94_P_100,100,00IGN-945,1200
1000_IGN 95_P_100,100,00IGN-955,1200
1000_IGN 971_P_100,100,00IGN9715,1200
1000_IGN 973_P_100,100,00IGN9735,1200
1000_IGN_P_100,100,00IGN-005,1200
1000_PETRA_P_,,PHOT_0181,722
1000_SAINT-BARTHELEMY_P_5000,5000,N00000201,1200
1919_CAF_A-14_P_100,100,CF00A-145,725
1919_CAF_A-15_P_5000,5000,CF00A-151,750
1919_CAF_A-16_P_5000,5000,CF00A-161,750
1919_CAF_A-18_P_100,100,CF00A-185,725
1919_CAF_A-19_P_100,100,CF00A-195,725
1919_CAF_A-20_P_5000,5000,CF00A-201,750
1919_CAF_A-21_P_5000,5000,CF00A-211,750
1919_CAF_A-22_P_5000,5000,CF000A221,750
1919_CAF_A-23_P_5000,5000,CF000A231,750
1919_CAF_A-24_P_5000,5000,CF00A-241,750
1919_CAF_A-25_P_5000,5000,CF00A-251,750
1919_CAF_A-26_P_5000,5000,CF00A-261,750
1919_CAF_A-27_P_5000,5000,CF00A-271,750
1919_CAF_A-28_P_5000,5000,CF00A-281,750
1919_CAF_A-29_P_5000,5000,CF00A-291,750
1919_CAF_A-3_P_5000,5000,CF000A-31,750
1919_CAF_A-30_P_100,100,CF00A-305,725
1919_CAF_A-5_P_2000,2000,N19000011,750
1919_CAF_A-5_P_5000,5000,CF000A-51,750
1919_CAF_A-7_P_5000,5000,CF000A-71,750
1919_CAF_A-8_P_3500,3500,CF000A-81,750
1919_CAF_A-9_P_3500,3500,CF000A-91,750
1919_CAF_B-11_P_100,100,CF00B-115,725
1919_CAF_B-13_P_100,100,CF00B-135,725
1919_CAF_B-14_P_100,100,CF00B-145,725
1919_CAF_B-15_P_100,100,CF00B-155,725
1919_CAF_B-19_P_5000,5000,CF00B-191,750
1919_CAF_B-2_P_100,100,CF000B-25,725
1919_CAF_B-20_P_100,100,CF00B-205,725
1919_CAF_B-21_P_5000,5000,CF00B-211,721
1919_CAF_B-22_P_5000,5000,CF00B-221,721
1919_CAF_B-23_P_2500,2500,CF00B-231,721
1919_CAF_B-24_P_2000,2000,CF0B-24B1,721
1919_CAF_B-24_P_5000,5000,CF00B-241,721
1919_CAF_B-25_P_100,100,CF00B-255,725
1919_CAF_B-26_P_5000,5000,CF00B-261,721
1919_CAF_B-27_P_5000,5000,CF00B-271,721
1919_CAF_B-28_P_100,100,CF00B-285,725
1919_CAF_B-29_P_5000,5000,CF00B-291,721
1919_CAF_B-31_P_5000,5000,CF00B-311,721
1919_CAF_B-5_P_5000,5000,CF000B-51,721
1919_CAF_B-6_P_5000,5000,CF000B-61,721
1919_CAF_B-9_P_5000,5000,CF000B-91,721
1919_CAF_C-1_P_100,100,CF000C-15,719
1919_CAF_C-10_P_100,100,CF00C-105,719
1919_CAF_C-11_P_100,100,CF00C-115,719
1919_CAF_C-12_P_5000,5000,CF00C-121,726
1919_CAF_C-13_P_100,100,CF00C-135,719
1919_CAF_C-14_P_100,100,CF00C-145,719
1919_CAF_C-15_P_100,100,CF00C-155,719
1919_CAF_C-16_P_100,100,CF00C-165,719
1919_CAF_C-17_P_100,100,CF00C-175,719
1919_CAF_C-18_P_2000,2000,CF0A-18B5,726
1919_CAF_C-18_P_5000,5000,CF00C-181,726
1919_CAF_C-19_P_100,100,CF00C-195,719
1919_CAF_C-2_P_100,100,CF000C-25,719
1919_CAF_C-20_P_100,100,CF00C-205,719
1919_CAF_C-21_P_100,100,CF00C-215,719
1919_CAF_C-22_P_100,100,CF00C-225,722
1919_CAF_C-22_P_13000,13000,CF00C-221,726
1919_CAF_C-3_P_100,100,CF000C-35,719
1919_CAF_C-4_P_100,100,CF000C-45,719
1919_CAF_C-5_P_2000,2000,CF00C-5B1,726
1919_CAF_C-5_P_3500,3500,CF00C-5C1,726
1919_CAF_C-5_P_5000,5000,CF000C-51,726
1919_CAF_C-6_P_100,100,CF000C-65,719
1919_CAF_C-7_P_5000,5000,CF000C-71,726
1919_CAF_C-8_P_5000,5000,CF000C-81,719
1919_CAF_D-13_P_100,100,CF00D-135,719
1919_CAF_D-2_P_100,100,CF000D-25,719
1919_CAF_D-3_P_100,100,CF000D-35,719
1919_CAF_D-4_P_100,100,CF000D-45,719
1919_CAF_D-5_P_100,100,CF000D-55,719
1919_CAF_D-6_P_100,100,CF000D-65,719
1919_CAF_R-40_P_100,100,CF00R-405,722
1919_CAF_X-0_P_100,100,CF000X-05,722
1919_CAF_Z-11_P_100,100,CF00Z-115,722
1919_CAF_Z-13_P_100,100,CF00Z-135,722
1919_CAF_Z-15_P_100,100,CF00Z-155,722
1919_CAF_Z-18_P_100,100,CF00Z-185,722
1919_CAF_Z-26_P_100,100,CF00Z-265,722
1919_CAF_Z-28_P_100,100,CF00Z-285,722
1919_CAF_Z-30_P_100,100,CF00Z-305,722
1919_CAF_Z-31_P_100,100,CF00Z-315,722
1919_CAF_Z-36_P_100,100,CF00Z-365,722
1919_CAF_Z-38_P_100,100,CF00Z-385,722
1919_CAF_Z-4_P_100,100,CF000Z-45,722
1919_CAF_Z-46_P_100,100,CF00Z-465,722
1919_CAF_Z-47_P_100,100,CF00Z-475,722
1919_CAF_Z-48_P_100,100,CF00Z-485,722
1919_CAF_Z-49_P_100,100,CF00Z-495,722
1919_CAF_Z-50_P_100,100,CF00Z-505,722
1920_CAF G10_P_4400,4400,N20000131,750
1920_CAF G11_P_4000,4000,N20000011,750
1920_CAF G12_P_4000,4000,N20000061,750
1920_CAF G13_P_4000,4000,N20000021,750
1920_CAF G14_P_4000,4000,N20000051,750
1920_CAF G16_P_4000,4000,N20000101,750
1920_CAF G17_P_4000,4000,N20000111,750
1920_CAF G18_P_4000,4000,N20000121,750
1920_CAF G20_P_4000,4000,N20000141,750
1920_CAF G5_P_4000,4000,N20000031,750
1920_CAF G6_P_4000,4000,N20000041,750
1920_CAF G7_P_4000,4000,N20000071,750
1920_CAF G8_P_4000,4000,N20000081,750
1920_CAF G9_P_4000,4000,N20000091,750
1920_CAF_A-31_P_100,100,CF00A-315,725
1920_CAF_A-33_P_100,100,CF00A-335,725
1920_CAF_A-34BIS_P_5000,5000,CF-34ABI1,750
1920_CAF_A-35_P_5000,5000,CF00A-351,750
1920_CAF_A-36_P_5000,5000,CF00A-361,750
1920_CAF_A-37_P_5000,5000,CF00A-371,750
1920_CAF_A-38_P_100,100,CF00A-385,725
1920_CAF_A-43_P_100,100,CF00A-435,725
1920_CAF_A-51_P_100,100,CF00A-515,725
1920_CAF_C-23_P_100,100,CF00C-235,719
1920_CAF_C-24_P_5000,5000,CF00C-241,726
1920_CAF_C-25_P_100,100,CF00C-255,719
1920_CAF_C-27_P_100,100,CF00C-275,719
1920_CAF_C-28_P_5000,5000,CF00C-281,726
1920_CAF_C-29_P_100,100,CF00C-295,719
1920_CAF_C-30_P_100,100,CF00C-305,719
1920_CAF_C-31_P_100,100,CF00C-315,719
1920_CAF_C-32_P_5000,5000,CF00C-321,726
1920_CAF_C-39_P_100,100,CF00C-395,719
1920_CAF_C-42_P_100,100,CF00C-425,719
1920_CAF_D-15_P_100,100,CF00D-155,719
1920_CAF_D-16_P_5000,5000,CF00D-161,726
1920_CAF_D-17_P_5000,5000,CF00D-171,726
1920_CAF_D-18_P_100,100,CF00D-185,719
1920_CAF_D-19_P_100,100,CF00D-195,719
1920_CAF_D-21_P_100,100,CF00D-215,719
1920_CAF_D-22_P_11000,11000,CF00D-221,726
1920_CAF_D-28_P_100,100,CF00D-285,719
1920_CAF_D-29_P_100,100,CF00D-295,719
1920_CAF_D-30_P_100,100,CF00D-305,719
1920_CAF_D-31_P_100,100,CF00D-315,719
1920_CAF_D-32_P_100,100,CF00D-325,719
1920_CAF_E-0_P_100,100,CF000E-01,719
1920_CAF_E-1_P_100,100,CF000E-15,719
1920_CAF_E-11_P_100,100,CF00E-115,719
1920_CAF_E-12_P_100,100,CF00E-125,719
1920_CAF_E-15BIS_P_100,100,CF-15BIS5,719
1920_CAF_E-4_P_100,100,CF000E-41,719
1920_CAF_E-8_P_100,100,CF000E-85,719
1920_CAF_E-9_P_100,100,CF000E-95,719
1920_CAF_G-1_P_5000,5000,CF000G-11,724
1920_CAF_G-19_P_100,100,CF00G-195,722
1920_CAF_G-2_P_100,100,CF000G-25,719
1920_CAF_G-21_P_100,100,CF00G-215,724
1920_CAF_G-22_P_100,100,CF00G-225,724
1920_CAF_G-3_P_100,100,CF000G-35,719
1920_CAF_G-4_P_100,100,CF000G-45,719
1920_CAF_H-10_P_5000,5000,CF00H-101,722
1920_CAF_H-11_P_100,100,CF00H-115,724
1920_CAF_H-13_P_2500,2500,CF00H-131,722
1920_CAF_H-14_P_5000,5000,CF00H-141,722
1920_CAF_H-16_P_5000,5000,CF00H-161,722
1920_CAF_H-17_P_5000,5000,CF00H-171,722
1920_CAF_H-4_P_100,100,CF000H-45,724
1920_CAF_H-8_P_100,100,CF000H-85,724
1920_CAF_H-9_P_100,100,CF000H-95,724
1921_CAF_A-56_P_100,100,CF00A-565,725
1921_CAF_A-57_P_100,100,CF00A-575,725
1921_CAF_A-58BIS_P_100,100,CF-58BIS5,725
1921_CAF_A-62_P_100,100,CF00A-625,725
1921_CAF_A-63_P_100,100,CF00A-635,725
1921_CAF_A-64_P_100,100,CF00A-645,725
1921_CAF_A-65_P_100,100,CF00A-655,750
1921_CAF_A-65_P_5000,5000,CF00A-651,750
1921_CAF_A-66_P_10000,10000,N21000011,750
1921_CAF_A-66_P_5000,5000,CF00A-661,750
1921_CAF_B-32_P_5000,5000,CF00B-321,721
1921_CAF_B-34_P_100,100,CF00B-345,725
1921_CAF_B-35_P_5000,5000,CF00B-351,721
1921_CAF_B-36_P_10000,10000,CF00B-361,721
1921_CAF_B-37_P_4000,4000,CF0B-37B1,721
1921_CAF_B-37_P_8000,8000,CF00B-371,721
1921_CAF_B-38_P_100,100,CF00B-385,725
1921_CAF_B-39_P_100,100,CF00B-395,725
1921_CAF_B-40_P_100,100,CF00B-405,725
1921_CAF_B-40_P_2000,2000,CF0B-40B1,721
1921_CAF_B-40_P_5000,5000,CF00B-401,721
1921_CAF_B-41_P_2500,2500,CF00B-411,721
1921_CAF_B-42_P_5000,5000,CF00B-421,721
1921_CAF_B-45_P_2200,2200,CF00B-451,721
1921_CAF_B-46_P_5000,5000,CF00B-461,721
1921_CAF_B-47_P_5000,5000,CF00B-471,721
1921_CAF_D-34_P_100,100,CF00D-341,719
1921_CAF_D-36_P_100,100,CF00D-365,719
1921_CAF_D-37_P_100,100,CF00D-375,719
1921_CAF_D-40_P_100,100,CF00D-405,719
1921_CAF_D-41_P_2000,2000,CF00D-411,726
1921_CAF_D-42_P_5000,5000,CF00D-421,726
1921_CAF_D-43_P_5000,5000,CF00D-431,726
1921_CAF_D-44_P_2000,2000,CF00D-441,726
1921_CAF_D-46_P_2500,2500,CF00D-461,726
1921_CAF_D-48_P_2500,2500,CF00D-481,726
1921_CAF_D-49_P_2000,2000,CF00D-491,726
1921_CAF_F-6_P_100,100,CF000F-65,719
1921_CAF_G-24_P_100,100,CF00G-245,724
1921_CAF_G-25_P_15000,15000,CF0G-25C1,724
1921_CAF_G-25_P_8000,8000,CF0G-25B1,724
1921_CAF_G-28_P_100,100,CF00G-285,724
1921_CAF_G-29_P_5000,5000,CF00G-291,724
1921_CAF_G-31_P_2000,2000,CF00G-311,724
1921_CAF_G-32_P_5000,5000,CF00G-321,724
1921_CAF_G-33_P_100,100,CF00G-335,724
1921_CAF_G-33_P_5000,5000,CF00G-331,724
1921_CAF_G-34_P_100,100,CF00G-341,724
1921_CAF_G-35_P_100,100,CF00G-355,724
1921_CAF_G-35_P_11000,11000,CF0G-35B1,724
1921_CAF_G-35_P_5000,5000,CF00G-351,724
1921_CAF_G-36_P_2000,2000,CF00G-361,724
1921_CAF_G-37_P_2000,2000,CF00G-371,724
1921_CAF_G-39_P_2500,2500,CF0G-39B1,722
1921_CAF_G-39_P_5000,5000,CF00G-391,722
1921_CAF_G-40_P_5000,5000,CF00G-401,722
1921_CAF_G-41_P_12000,12000,CF0G-41B1,722
1921_CAF_G-41_P_5000,5000,CF00G-411,722
1921_CAF_G-42_P_100,100,CF00G-425,724
1921_CAF_G-43_P_100,100,CF00G-435,724
1921_CAF_G-44_P_100,100,CF00G-445,724
1921_CAF_G-45_P_10000,10000,CF0G-45B1,722
1921_CAF_G-45_P_5000,5000,CF00G-451,722
1921_CAF_G-46_P_100,100,CF00G-465,724
1921_CAF_G-47_P_100,100,CF00G-475,724
1921_CAF_G-47_P_5000,5000,CF00G-471,722
1921_CAF_G-48_P_100,100,CF00G-485,724
1921_CAF_G-49_P_5000,5000,CF00G-491,722
1921_CAF_G-49_P_9000,9000,CF0G-49B1,722
1921_CAF_G-50_P_10000,10000,CF0G-50B1,722
1921_CAF_G-50_P_3000,3000,CF00G-501,722
1921_CAF_G-51_P_2500,2500,CF0G-51B1,722
1921_CAF_G-51_P_5000,5000,CF00G-511,722
